plan,swing,baseline,dem,rep
2022,-10.299999999999999,USS,31,68
Evers least change,-10.299999999999999,USS,30,69
People's Map Commission,-10.299999999999999,USS,29,70
2012,-10.2,USS,29,70
2022,-10.2,USS,31,68
Evers least change,-10.2,USS,30,69
People's Map Commission,-10.2,USS,29,70
2012,-10.1,USS,29,70
2022,-10.1,USS,31,68
Evers least change,-10.1,USS,30,69
People's Map Commission,-10.1,USS,29,70
2012,-10,USS,29,70
2022,-10,USS,31,68
Evers least change,-10,USS,30,69
People's Map Commission,-10,USS,29,70
2012,-9.899999999999999,USS,29,70
2022,-9.899999999999999,USS,31,68
Evers least change,-9.899999999999999,USS,30,69
People's Map Commission,-9.899999999999999,USS,30,69
2012,-9.799999999999999,USS,29,70
2022,-9.799999999999999,USS,31,68
Evers least change,-9.799999999999999,USS,30,69
People's Map Commission,-9.799999999999999,USS,31,68
2012,-9.7,USS,29,70
2022,-9.7,USS,31,68
Evers least change,-9.7,USS,30,69
People's Map Commission,-9.7,USS,31,68
2012,-9.6,USS,30,69
2022,-9.6,USS,31,68
Evers least change,-9.6,USS,30,69
People's Map Commission,-9.6,USS,31,68
2012,-9.5,USS,30,69
2022,-9.5,USS,31,68
Evers least change,-9.5,USS,30,69
People's Map Commission,-9.5,USS,31,68
2012,-9.399999999999999,USS,30,69
2022,-9.399999999999999,USS,32,67
Evers least change,-9.399999999999999,USS,30,69
People's Map Commission,-9.399999999999999,USS,31,68
2012,-9.299999999999999,USS,30,69
2022,-9.299999999999999,USS,32,67
Evers least change,-9.299999999999999,USS,31,68
People's Map Commission,-9.299999999999999,USS,31,68
2012,-9.2,USS,30,69
2022,-9.2,USS,32,67
Evers least change,-9.2,USS,31,68
People's Map Commission,-9.2,USS,31,68
2012,-9.1,USS,30,69
2022,-9.1,USS,32,67
Evers least change,-9.1,USS,31,68
People's Map Commission,-9.1,USS,31,68
2012,-9,USS,30,69
2022,-9,USS,32,67
Evers least change,-9,USS,31,68
People's Map Commission,-9,USS,31,68
2012,-8.899999999999999,USS,30,69
2022,-8.899999999999999,USS,32,67
Evers least change,-8.899999999999999,USS,31,68
People's Map Commission,-8.899999999999999,USS,32,67
2012,-8.799999999999999,USS,30,69
2022,-8.799999999999999,USS,32,67
Evers least change,-8.799999999999999,USS,31,68
People's Map Commission,-8.799999999999999,USS,32,67
2012,-8.7,USS,30,69
2022,-8.7,USS,33,66
Evers least change,-8.7,USS,31,68
People's Map Commission,-8.7,USS,32,67
2012,-8.6,USS,30,69
2022,-8.6,USS,33,66
Evers least change,-8.6,USS,31,68
People's Map Commission,-8.6,USS,32,67
2012,-8.5,USS,31,68
2022,-8.5,USS,33,66
Evers least change,-8.5,USS,32,67
People's Map Commission,-8.5,USS,32,67
2012,-8.399999999999999,USS,31,68
2022,-8.399999999999999,USS,33,66
Evers least change,-8.399999999999999,USS,32,67
People's Map Commission,-8.399999999999999,USS,32,67
2012,-8.299999999999999,USS,31,68
2022,-8.299999999999999,USS,33,66
Evers least change,-8.299999999999999,USS,32,67
People's Map Commission,-8.299999999999999,USS,33,66
2012,-8.2,USS,31,68
2022,-8.2,USS,33,66
Evers least change,-8.2,USS,33,66
People's Map Commission,-8.2,USS,33,66
2012,-8.1,USS,31,68
2022,-8.1,USS,33,66
Evers least change,-8.1,USS,33,66
People's Map Commission,-8.1,USS,33,66
2012,-8,USS,33,66
2022,-8,USS,33,66
Evers least change,-8,USS,33,66
People's Map Commission,-8,USS,33,66
2012,-7.899999999999999,USS,33,66
2022,-7.899999999999999,USS,33,66
Evers least change,-7.899999999999999,USS,33,66
People's Map Commission,-7.899999999999999,USS,33,66
2012,-7.799999999999999,USS,33,66
2022,-7.799999999999999,USS,33,66
Evers least change,-7.799999999999999,USS,33,66
People's Map Commission,-7.799999999999999,USS,34,65
2012,-7.699999999999999,USS,33,66
2022,-7.699999999999999,USS,33,66
Evers least change,-7.699999999999999,USS,33,66
People's Map Commission,-7.699999999999999,USS,34,65
2012,-7.6,USS,33,66
2022,-7.6,USS,33,66
Evers least change,-7.6,USS,33,66
People's Map Commission,-7.6,USS,34,65
2012,-7.5,USS,34,65
2022,-7.5,USS,33,66
Evers least change,-7.5,USS,33,66
People's Map Commission,-7.5,USS,34,65
2012,-7.399999999999999,USS,35,64
2022,-7.399999999999999,USS,33,66
Evers least change,-7.399999999999999,USS,34,65
People's Map Commission,-7.399999999999999,USS,35,64
2012,-7.299999999999999,USS,35,64
2022,-7.299999999999999,USS,33,66
Evers least change,-7.299999999999999,USS,35,64
People's Map Commission,-7.299999999999999,USS,35,64
2012,-7.199999999999999,USS,35,64
2022,-7.199999999999999,USS,33,66
Evers least change,-7.199999999999999,USS,35,64
People's Map Commission,-7.199999999999999,USS,36,63
2012,-7.1,USS,35,64
2022,-7.1,USS,33,66
Evers least change,-7.1,USS,35,64
People's Map Commission,-7.1,USS,36,63
2012,-7,USS,35,64
2022,-7,USS,33,66
Evers least change,-7,USS,35,64
People's Map Commission,-7,USS,36,63
2012,-6.899999999999999,USS,35,64
2022,-6.899999999999999,USS,34,65
Evers least change,-6.899999999999999,USS,35,64
People's Map Commission,-6.899999999999999,USS,36,63
2012,-6.799999999999999,USS,35,64
2022,-6.799999999999999,USS,34,65
Evers least change,-6.799999999999999,USS,35,64
People's Map Commission,-6.799999999999999,USS,36,63
2012,-6.699999999999999,USS,35,64
2022,-6.699999999999999,USS,34,65
Evers least change,-6.699999999999999,USS,35,64
People's Map Commission,-6.699999999999999,USS,36,63
2012,-6.6,USS,35,64
2022,-6.6,USS,34,65
Evers least change,-6.6,USS,35,64
People's Map Commission,-6.6,USS,36,63
2012,-6.5,USS,35,64
2022,-6.5,USS,34,65
Evers least change,-6.5,USS,35,64
People's Map Commission,-6.5,USS,37,62
2012,-6.399999999999999,USS,35,64
2022,-6.399999999999999,USS,34,65
Evers least change,-6.399999999999999,USS,35,64
People's Map Commission,-6.399999999999999,USS,37,62
2012,-6.299999999999999,USS,35,64
2022,-6.299999999999999,USS,34,65
Evers least change,-6.299999999999999,USS,35,64
People's Map Commission,-6.299999999999999,USS,37,62
2012,-6.199999999999999,USS,35,64
2022,-6.199999999999999,USS,34,65
Evers least change,-6.199999999999999,USS,35,64
People's Map Commission,-6.199999999999999,USS,37,62
2012,-6.1,USS,35,64
2022,-6.1,USS,34,65
Evers least change,-6.1,USS,35,64
People's Map Commission,-6.1,USS,38,61
2012,-6,USS,35,64
2022,-6,USS,34,65
Evers least change,-6,USS,35,64
People's Map Commission,-6,USS,38,61
2012,-5.899999999999999,USS,35,64
2022,-5.899999999999999,USS,34,65
Evers least change,-5.899999999999999,USS,35,64
People's Map Commission,-5.899999999999999,USS,38,61
2012,-5.799999999999999,USS,35,64
2022,-5.799999999999999,USS,34,65
Evers least change,-5.799999999999999,USS,35,64
People's Map Commission,-5.799999999999999,USS,38,61
2012,-5.699999999999999,USS,35,64
2022,-5.699999999999999,USS,34,65
Evers least change,-5.699999999999999,USS,36,63
People's Map Commission,-5.699999999999999,USS,38,61
2012,-5.6,USS,35,64
2022,-5.6,USS,34,65
Evers least change,-5.6,USS,36,63
People's Map Commission,-5.6,USS,38,61
2012,-5.5,USS,35,64
2022,-5.5,USS,34,65
Evers least change,-5.5,USS,36,63
People's Map Commission,-5.5,USS,38,61
2012,-5.399999999999999,USS,35,64
2022,-5.399999999999999,USS,34,65
Evers least change,-5.399999999999999,USS,36,63
People's Map Commission,-5.399999999999999,USS,38,61
2012,-5.299999999999999,USS,35,64
2022,-5.299999999999999,USS,34,65
Evers least change,-5.299999999999999,USS,36,63
People's Map Commission,-5.299999999999999,USS,38,61
2012,-5.199999999999999,USS,35,64
2022,-5.199999999999999,USS,34,65
Evers least change,-5.199999999999999,USS,36,63
People's Map Commission,-5.199999999999999,USS,38,61
2012,-5.1,USS,35,64
2022,-5.1,USS,34,65
Evers least change,-5.1,USS,36,63
People's Map Commission,-5.1,USS,38,61
2012,-5,USS,35,64
2022,-5,USS,34,65
Evers least change,-5,USS,36,63
People's Map Commission,-5,USS,38,61
2012,-4.899999999999999,USS,35,64
2022,-4.899999999999999,USS,34,65
Evers least change,-4.899999999999999,USS,36,63
People's Map Commission,-4.899999999999999,USS,38,61
2012,-4.799999999999999,USS,35,64
2022,-4.799999999999999,USS,34,65
Evers least change,-4.799999999999999,USS,36,63
People's Map Commission,-4.799999999999999,USS,38,61
2012,-4.699999999999999,USS,35,64
2022,-4.699999999999999,USS,34,65
Evers least change,-4.699999999999999,USS,36,63
People's Map Commission,-4.699999999999999,USS,38,61
2012,-4.6,USS,35,64
2022,-4.6,USS,34,65
Evers least change,-4.6,USS,36,63
People's Map Commission,-4.6,USS,38,61
2012,-4.5,USS,35,64
2022,-4.5,USS,34,65
Evers least change,-4.5,USS,36,63
People's Map Commission,-4.5,USS,38,61
2012,-4.399999999999999,USS,35,64
2022,-4.399999999999999,USS,34,65
Evers least change,-4.399999999999999,USS,36,63
People's Map Commission,-4.399999999999999,USS,38,61
2012,-4.299999999999999,USS,35,64
2022,-4.299999999999999,USS,34,65
Evers least change,-4.299999999999999,USS,36,63
People's Map Commission,-4.299999999999999,USS,38,61
2012,-4.199999999999999,USS,35,64
2022,-4.199999999999999,USS,34,65
Evers least change,-4.199999999999999,USS,36,63
People's Map Commission,-4.199999999999999,USS,38,61
2012,-4.1,USS,35,64
2022,-4.1,USS,34,65
Evers least change,-4.1,USS,36,63
People's Map Commission,-4.1,USS,38,61
2012,-4,USS,35,64
2022,-4,USS,34,65
Evers least change,-4,USS,36,63
People's Map Commission,-4,USS,38,61
2012,-3.8999999999999986,USS,35,64
2022,-3.8999999999999986,USS,34,65
Evers least change,-3.8999999999999986,USS,36,63
People's Map Commission,-3.8999999999999986,USS,39,60
2012,-3.8000000000000007,USS,35,64
2022,-3.8000000000000007,USS,34,65
Evers least change,-3.8000000000000007,USS,36,63
People's Map Commission,-3.8000000000000007,USS,39,60
2012,-3.6999999999999993,USS,35,64
2022,-3.6999999999999993,USS,34,65
Evers least change,-3.6999999999999993,USS,36,63
People's Map Commission,-3.6999999999999993,USS,39,60
2012,-3.599999999999998,USS,35,64
2022,-3.599999999999998,USS,34,65
Evers least change,-3.599999999999998,USS,36,63
People's Map Commission,-3.599999999999998,USS,39,60
2012,-3.5,USS,35,64
2022,-3.5,USS,34,65
Evers least change,-3.5,USS,36,63
People's Map Commission,-3.5,USS,39,60
2012,-3.3999999999999986,USS,35,64
2022,-3.3999999999999986,USS,34,65
Evers least change,-3.3999999999999986,USS,36,63
People's Map Commission,-3.3999999999999986,USS,39,60
2012,-3.3000000000000007,USS,35,64
2022,-3.3000000000000007,USS,34,65
Evers least change,-3.3000000000000007,USS,36,63
People's Map Commission,-3.3000000000000007,USS,39,60
2012,-3.1999999999999993,USS,35,64
2022,-3.1999999999999993,USS,34,65
Evers least change,-3.1999999999999993,USS,36,63
People's Map Commission,-3.1999999999999993,USS,39,60
2012,-3.099999999999998,USS,35,64
2022,-3.099999999999998,USS,34,65
Evers least change,-3.099999999999998,USS,36,63
People's Map Commission,-3.099999999999998,USS,39,60
2012,-3,USS,35,64
2022,-3,USS,34,65
Evers least change,-3,USS,36,63
People's Map Commission,-3,USS,39,60
2012,-2.8999999999999986,USS,35,64
2022,-2.8999999999999986,USS,34,65
Evers least change,-2.8999999999999986,USS,36,63
People's Map Commission,-2.8999999999999986,USS,39,60
2012,-2.8000000000000007,USS,35,64
2022,-2.8000000000000007,USS,34,65
Evers least change,-2.8000000000000007,USS,37,62
People's Map Commission,-2.8000000000000007,USS,39,60
2012,-2.6999999999999993,USS,35,64
2022,-2.6999999999999993,USS,34,65
Evers least change,-2.6999999999999993,USS,37,62
People's Map Commission,-2.6999999999999993,USS,39,60
2012,-2.599999999999998,USS,35,64
2022,-2.599999999999998,USS,34,65
Evers least change,-2.599999999999998,USS,37,62
People's Map Commission,-2.599999999999998,USS,39,60
2012,-2.5,USS,35,64
2022,-2.5,USS,34,65
Evers least change,-2.5,USS,38,61
People's Map Commission,-2.5,USS,39,60
2012,-2.3999999999999986,USS,35,64
2022,-2.3999999999999986,USS,34,65
Evers least change,-2.3999999999999986,USS,38,61
People's Map Commission,-2.3999999999999986,USS,39,60
2012,-2.3000000000000007,USS,35,64
2022,-2.3000000000000007,USS,34,65
Evers least change,-2.3000000000000007,USS,38,61
People's Map Commission,-2.3000000000000007,USS,39,60
2012,-2.1999999999999993,USS,35,64
2022,-2.1999999999999993,USS,34,65
Evers least change,-2.1999999999999993,USS,38,61
People's Map Commission,-2.1999999999999993,USS,39,60
2012,-2.099999999999998,USS,35,64
2022,-2.099999999999998,USS,34,65
Evers least change,-2.099999999999998,USS,38,61
People's Map Commission,-2.099999999999998,USS,39,60
2012,-2,USS,35,64
2022,-2,USS,34,65
Evers least change,-2,USS,38,61
People's Map Commission,-2,USS,39,60
2012,-1.8999999999999986,USS,36,63
2022,-1.8999999999999986,USS,34,65
Evers least change,-1.8999999999999986,USS,38,61
People's Map Commission,-1.8999999999999986,USS,39,60
2012,-1.8000000000000007,USS,36,63
2022,-1.8000000000000007,USS,34,65
Evers least change,-1.8000000000000007,USS,38,61
People's Map Commission,-1.8000000000000007,USS,39,60
2012,-1.6999999999999993,USS,36,63
2022,-1.6999999999999993,USS,35,64
Evers least change,-1.6999999999999993,USS,38,61
People's Map Commission,-1.6999999999999993,USS,40,59
2012,-1.5999999999999979,USS,36,63
2022,-1.5999999999999979,USS,35,64
Evers least change,-1.5999999999999979,USS,38,61
People's Map Commission,-1.5999999999999979,USS,40,59
2012,-1.5,USS,36,63
2022,-1.5,USS,35,64
Evers least change,-1.5,USS,38,61
People's Map Commission,-1.5,USS,40,59
2012,-1.3999999999999986,USS,36,63
2022,-1.3999999999999986,USS,35,64
Evers least change,-1.3999999999999986,USS,38,61
People's Map Commission,-1.3999999999999986,USS,41,58
2012,-1.3000000000000007,USS,36,63
2022,-1.3000000000000007,USS,35,64
Evers least change,-1.3000000000000007,USS,38,61
People's Map Commission,-1.3000000000000007,USS,42,57
2012,-1.1999999999999993,USS,36,63
2022,-1.1999999999999993,USS,35,64
Evers least change,-1.1999999999999993,USS,38,61
People's Map Commission,-1.1999999999999993,USS,42,57
2012,-1.0999999999999979,USS,36,63
2022,-1.0999999999999979,USS,35,64
Evers least change,-1.0999999999999979,USS,38,61
People's Map Commission,-1.0999999999999979,USS,43,56
2012,-1,USS,36,63
2022,-1,USS,35,64
Evers least change,-1,USS,38,61
People's Map Commission,-1,USS,43,56
2012,-0.8999999999999986,USS,36,63
2022,-0.8999999999999986,USS,35,64
Evers least change,-0.8999999999999986,USS,38,61
People's Map Commission,-0.8999999999999986,USS,43,56
2012,-0.7999999999999972,USS,36,63
2022,-0.7999999999999972,USS,35,64
Evers least change,-0.7999999999999972,USS,39,60
People's Map Commission,-0.7999999999999972,USS,43,56
2012,-0.6999999999999993,USS,36,63
2022,-0.6999999999999993,USS,35,64
Evers least change,-0.6999999999999993,USS,39,60
People's Map Commission,-0.6999999999999993,USS,44,55
2012,-0.5999999999999979,USS,36,63
2022,-0.5999999999999979,USS,35,64
Evers least change,-0.5999999999999979,USS,39,60
People's Map Commission,-0.5999999999999979,USS,44,55
2012,-0.5,USS,36,63
2022,-0.5,USS,35,64
Evers least change,-0.5,USS,39,60
People's Map Commission,-0.5,USS,44,55
2012,-0.3999999999999986,USS,36,63
2022,-0.3999999999999986,USS,35,64
Evers least change,-0.3999999999999986,USS,39,60
People's Map Commission,-0.3999999999999986,USS,44,55
2012,-0.29999999999999716,USS,37,62
2022,-0.29999999999999716,USS,35,64
Evers least change,-0.29999999999999716,USS,39,60
People's Map Commission,-0.29999999999999716,USS,44,55
2012,-0.1999999999999993,USS,37,62
2022,-0.1999999999999993,USS,35,64
Evers least change,-0.1999999999999993,USS,39,60
People's Map Commission,-0.1999999999999993,USS,44,55
2012,-0.09999999999999787,USS,37,62
2022,-0.09999999999999787,USS,35,64
Evers least change,-0.09999999999999787,USS,39,60
People's Map Commission,-0.09999999999999787,USS,44,55
2012,0,USS,37,62
2022,0,USS,35,64
Evers least change,0,USS,39,60
People's Map Commission,0,USS,44,55
2012,0.10000000000000142,USS,37,62
2022,0.10000000000000142,USS,35,64
Evers least change,0.10000000000000142,USS,40,59
People's Map Commission,0.10000000000000142,USS,44,55
2012,0.20000000000000284,USS,37,62
2022,0.20000000000000284,USS,35,64
Evers least change,0.20000000000000284,USS,40,59
People's Map Commission,0.20000000000000284,USS,44,55
2012,0.3000000000000007,USS,37,62
2022,0.3000000000000007,USS,35,64
Evers least change,0.3000000000000007,USS,40,59
People's Map Commission,0.3000000000000007,USS,44,55
2012,0.40000000000000213,USS,38,61
2022,0.40000000000000213,USS,35,64
Evers least change,0.40000000000000213,USS,40,59
People's Map Commission,0.40000000000000213,USS,44,55
2012,0.5,USS,38,61
2022,0.5,USS,35,64
Evers least change,0.5,USS,40,59
People's Map Commission,0.5,USS,44,55
2012,0.6000000000000014,USS,38,61
2022,0.6000000000000014,USS,35,64
Evers least change,0.6000000000000014,USS,40,59
People's Map Commission,0.6000000000000014,USS,44,55
2012,0.7000000000000028,USS,38,61
2022,0.7000000000000028,USS,35,64
Evers least change,0.7000000000000028,USS,40,59
People's Map Commission,0.7000000000000028,USS,44,55
2012,0.8000000000000007,USS,38,61
2022,0.8000000000000007,USS,35,64
Evers least change,0.8000000000000007,USS,40,59
People's Map Commission,0.8000000000000007,USS,44,55
2012,0.9000000000000021,USS,38,61
2022,0.9000000000000021,USS,35,64
Evers least change,0.9000000000000021,USS,40,59
People's Map Commission,0.9000000000000021,USS,44,55
2012,1,USS,38,61
2022,1,USS,35,64
Evers least change,1,USS,41,58
People's Map Commission,1,USS,44,55
2012,1.1000000000000014,USS,38,61
2022,1.1000000000000014,USS,35,64
Evers least change,1.1000000000000014,USS,41,58
People's Map Commission,1.1000000000000014,USS,44,55
2012,1.2000000000000028,USS,38,61
2022,1.2000000000000028,USS,35,64
Evers least change,1.2000000000000028,USS,41,58
People's Map Commission,1.2000000000000028,USS,44,55
2012,1.3000000000000007,USS,38,61
2022,1.3000000000000007,USS,35,64
Evers least change,1.3000000000000007,USS,41,58
People's Map Commission,1.3000000000000007,USS,45,54
2012,1.4000000000000021,USS,38,61
2022,1.4000000000000021,USS,35,64
Evers least change,1.4000000000000021,USS,42,57
People's Map Commission,1.4000000000000021,USS,46,53
2012,1.5,USS,38,61
2022,1.5,USS,35,64
Evers least change,1.5,USS,42,57
People's Map Commission,1.5,USS,46,53
2012,1.6000000000000014,USS,38,61
2022,1.6000000000000014,USS,35,64
Evers least change,1.6000000000000014,USS,42,57
People's Map Commission,1.6000000000000014,USS,46,53
2012,1.7000000000000028,USS,38,61
2022,1.7000000000000028,USS,35,64
Evers least change,1.7000000000000028,USS,42,57
People's Map Commission,1.7000000000000028,USS,47,52
2012,1.8000000000000007,USS,38,61
2022,1.8000000000000007,USS,35,64
Evers least change,1.8000000000000007,USS,42,57
People's Map Commission,1.8000000000000007,USS,47,52
2012,1.9000000000000021,USS,38,61
2022,1.9000000000000021,USS,35,64
Evers least change,1.9000000000000021,USS,42,57
People's Map Commission,1.9000000000000021,USS,47,52
2012,2,USS,38,61
2022,2,USS,35,64
Evers least change,2,USS,42,57
People's Map Commission,2,USS,47,52
2012,2.1000000000000014,USS,38,61
2022,2.1000000000000014,USS,36,63
Evers least change,2.1000000000000014,USS,42,57
People's Map Commission,2.1000000000000014,USS,47,52
2012,2.200000000000003,USS,38,61
2022,2.200000000000003,USS,36,63
Evers least change,2.200000000000003,USS,42,57
People's Map Commission,2.200000000000003,USS,48,51
2012,2.3000000000000007,USS,38,61
2022,2.3000000000000007,USS,36,63
Evers least change,2.3000000000000007,USS,42,57
People's Map Commission,2.3000000000000007,USS,48,51
2012,2.400000000000002,USS,38,61
2022,2.400000000000002,USS,36,63
Evers least change,2.400000000000002,USS,42,57
People's Map Commission,2.400000000000002,USS,48,51
2012,2.5,USS,39,60
2022,2.5,USS,36,63
Evers least change,2.5,USS,42,57
People's Map Commission,2.5,USS,49,50
2012,2.6000000000000014,USS,39,60
2022,2.6000000000000014,USS,36,63
Evers least change,2.6000000000000014,USS,42,57
People's Map Commission,2.6000000000000014,USS,49,50
2012,2.700000000000003,USS,39,60
2022,2.700000000000003,USS,36,63
Evers least change,2.700000000000003,USS,42,57
People's Map Commission,2.700000000000003,USS,49,50
2012,2.8000000000000007,USS,39,60
2022,2.8000000000000007,USS,36,63
Evers least change,2.8000000000000007,USS,43,56
People's Map Commission,2.8000000000000007,USS,49,50
2012,2.900000000000002,USS,39,60
2022,2.900000000000002,USS,37,62
Evers least change,2.900000000000002,USS,43,56
People's Map Commission,2.900000000000002,USS,49,50
2012,3,USS,39,60
2022,3,USS,37,62
Evers least change,3,USS,43,56
People's Map Commission,3,USS,49,50
2012,3.1000000000000014,USS,40,59
2022,3.1000000000000014,USS,37,62
Evers least change,3.1000000000000014,USS,43,56
People's Map Commission,3.1000000000000014,USS,49,50
2012,3.200000000000003,USS,40,59
2022,3.200000000000003,USS,37,62
Evers least change,3.200000000000003,USS,43,56
People's Map Commission,3.200000000000003,USS,49,50
2012,3.3000000000000007,USS,40,59
2022,3.3000000000000007,USS,39,60
Evers least change,3.3000000000000007,USS,43,56
People's Map Commission,3.3000000000000007,USS,49,50
2012,3.400000000000002,USS,41,58
2022,3.400000000000002,USS,39,60
Evers least change,3.400000000000002,USS,44,55
People's Map Commission,3.400000000000002,USS,50,49
2012,3.5,USS,42,57
2022,3.5,USS,39,60
Evers least change,3.5,USS,44,55
People's Map Commission,3.5,USS,50,49
2012,3.6000000000000014,USS,42,57
2022,3.6000000000000014,USS,39,60
Evers least change,3.6000000000000014,USS,44,55
People's Map Commission,3.6000000000000014,USS,50,49
2012,3.700000000000003,USS,42,57
2022,3.700000000000003,USS,39,60
Evers least change,3.700000000000003,USS,44,55
People's Map Commission,3.700000000000003,USS,50,49
2012,3.8000000000000007,USS,42,57
2022,3.8000000000000007,USS,39,60
Evers least change,3.8000000000000007,USS,44,55
People's Map Commission,3.8000000000000007,USS,50,49
2012,3.900000000000002,USS,42,57
2022,3.900000000000002,USS,39,60
Evers least change,3.900000000000002,USS,44,55
People's Map Commission,3.900000000000002,USS,50,49
2012,4,USS,42,57
2022,4,USS,39,60
Evers least change,4,USS,45,54
People's Map Commission,4,USS,50,49
2012,4.100000000000001,USS,42,57
2022,4.100000000000001,USS,39,60
Evers least change,4.100000000000001,USS,45,54
People's Map Commission,4.100000000000001,USS,50,49
2012,4.200000000000003,USS,42,57
2022,4.200000000000003,USS,39,60
Evers least change,4.200000000000003,USS,45,54
People's Map Commission,4.200000000000003,USS,50,49
2012,4.300000000000001,USS,44,55
2022,4.300000000000001,USS,39,60
Evers least change,4.300000000000001,USS,45,54
People's Map Commission,4.300000000000001,USS,50,49
2012,4.400000000000002,USS,44,55
2022,4.400000000000002,USS,39,60
Evers least change,4.400000000000002,USS,46,53
People's Map Commission,4.400000000000002,USS,51,48
2012,4.5,USS,44,55
2022,4.5,USS,39,60
Evers least change,4.5,USS,46,53
People's Map Commission,4.5,USS,51,48
2012,4.600000000000001,USS,44,55
2022,4.600000000000001,USS,39,60
Evers least change,4.600000000000001,USS,46,53
People's Map Commission,4.600000000000001,USS,51,48
2012,4.700000000000003,USS,45,54
2022,4.700000000000003,USS,39,60
Evers least change,4.700000000000003,USS,46,53
People's Map Commission,4.700000000000003,USS,51,48
2012,4.800000000000001,USS,45,54
2022,4.800000000000001,USS,40,59
Evers least change,4.800000000000001,USS,46,53
People's Map Commission,4.800000000000001,USS,51,48
2012,4.900000000000002,USS,45,54
2022,4.900000000000002,USS,40,59
Evers least change,4.900000000000002,USS,46,53
People's Map Commission,4.900000000000002,USS,52,47
2012,5,USS,45,54
2022,5,USS,40,59
Evers least change,5,USS,47,52
People's Map Commission,5,USS,52,47
2012,5.100000000000001,USS,45,54
2022,5.100000000000001,USS,40,59
Evers least change,5.100000000000001,USS,47,52
People's Map Commission,5.100000000000001,USS,52,47
2012,5.200000000000003,USS,45,54
2022,5.200000000000003,USS,40,59
Evers least change,5.200000000000003,USS,47,52
People's Map Commission,5.200000000000003,USS,52,47
2012,5.300000000000001,USS,46,53
2022,5.300000000000001,USS,40,59
Evers least change,5.300000000000001,USS,47,52
People's Map Commission,5.300000000000001,USS,52,47
2012,5.400000000000002,USS,46,53
2022,5.400000000000002,USS,41,58
Evers least change,5.400000000000002,USS,47,52
People's Map Commission,5.400000000000002,USS,52,47
2012,5.5,USS,46,53
2022,5.5,USS,41,58
Evers least change,5.5,USS,47,52
People's Map Commission,5.5,USS,52,47
2012,5.600000000000001,USS,46,53
2022,5.600000000000001,USS,41,58
Evers least change,5.600000000000001,USS,48,51
People's Map Commission,5.600000000000001,USS,52,47
2012,5.700000000000003,USS,47,52
2022,5.700000000000003,USS,41,58
Evers least change,5.700000000000003,USS,48,51
People's Map Commission,5.700000000000003,USS,52,47
2012,5.800000000000001,USS,47,52
2022,5.800000000000001,USS,41,58
Evers least change,5.800000000000001,USS,48,51
People's Map Commission,5.800000000000001,USS,52,47
2012,5.900000000000002,USS,47,52
2022,5.900000000000002,USS,41,58
Evers least change,5.900000000000002,USS,48,51
People's Map Commission,5.900000000000002,USS,52,47
2012,6,USS,47,52
2022,6,USS,42,57
Evers least change,6,USS,48,51
People's Map Commission,6,USS,52,47
2012,6.100000000000001,USS,47,52
2022,6.100000000000001,USS,42,57
Evers least change,6.100000000000001,USS,49,50
People's Map Commission,6.100000000000001,USS,52,47
2012,6.200000000000003,USS,47,52
2022,6.200000000000003,USS,42,57
Evers least change,6.200000000000003,USS,49,50
People's Map Commission,6.200000000000003,USS,53,46
2012,6.300000000000001,USS,47,52
2022,6.300000000000001,USS,42,57
Evers least change,6.300000000000001,USS,49,50
People's Map Commission,6.300000000000001,USS,53,46
2012,6.400000000000002,USS,47,52
2022,6.400000000000002,USS,42,57
Evers least change,6.400000000000002,USS,49,50
People's Map Commission,6.400000000000002,USS,53,46
2012,6.5,USS,47,52
2022,6.5,USS,42,57
Evers least change,6.5,USS,49,50
People's Map Commission,6.5,USS,53,46
2012,6.600000000000001,USS,47,52
2022,6.600000000000001,USS,42,57
Evers least change,6.600000000000001,USS,49,50
People's Map Commission,6.600000000000001,USS,53,46
2012,6.700000000000003,USS,47,52
2022,6.700000000000003,USS,42,57
Evers least change,6.700000000000003,USS,49,50
People's Map Commission,6.700000000000003,USS,53,46
2012,6.800000000000001,USS,47,52
2022,6.800000000000001,USS,42,57
Evers least change,6.800000000000001,USS,49,50
People's Map Commission,6.800000000000001,USS,53,46
2012,6.900000000000002,USS,47,52
2022,6.900000000000002,USS,42,57
Evers least change,6.900000000000002,USS,49,50
People's Map Commission,6.900000000000002,USS,53,46
2012,7,USS,47,52
2022,7,USS,42,57
Evers least change,7,USS,49,50
People's Map Commission,7,USS,53,46
2012,7.100000000000001,USS,47,52
2022,7.100000000000001,USS,42,57
Evers least change,7.100000000000001,USS,49,50
People's Map Commission,7.100000000000001,USS,54,45
2012,7.200000000000003,USS,48,51
2022,7.200000000000003,USS,42,57
Evers least change,7.200000000000003,USS,49,50
People's Map Commission,7.200000000000003,USS,55,44
2012,7.300000000000001,USS,48,51
2022,7.300000000000001,USS,42,57
Evers least change,7.300000000000001,USS,50,49
People's Map Commission,7.300000000000001,USS,55,44
2012,7.400000000000002,USS,48,51
2022,7.400000000000002,USS,42,57
Evers least change,7.400000000000002,USS,50,49
People's Map Commission,7.400000000000002,USS,55,44
2012,7.5,USS,48,51
2022,7.5,USS,42,57
Evers least change,7.5,USS,50,49
People's Map Commission,7.5,USS,55,44
2012,7.600000000000001,USS,48,51
2022,7.600000000000001,USS,42,57
Evers least change,7.600000000000001,USS,50,49
